_id,ilce_adi,mahalle_adi,arkeolojik_alan
582,Kulu,KÖMÜŞİNİ,YOK
583,Kulu,KÖŞKER,YOK
584,Kulu,SARIYAYLA,YOK
585,Kulu,SEYİTAHMETLİ,YOK
586,Kulu,SOĞUKKUYU,YOK
587,Kulu,ŞEREFLİ,VAR
588,Kulu,TAVLIÖREN,YOK
589,Kulu,ÖMERANLI,YOK
590,Kulu,TUZYAKA,YOK
591,Kulu,YARAŞLI,VAR
592,Kulu,YAZIÇAYIR,YOK
593,Kulu,YEŞİLTEPE,YOK
594,Kulu,YEŞİLYURT,YOK
595,Kulu,ZİNCİRLİKUYU,YOK
596,Kulu,BAHADIRLI,YOK
597,Kulu,DEĞİRMENÖZÜ,YOK
598,Meram,ERENKAYA,YOK
599,Meram,YATAĞAN,YOK
600,Meram,GÖKYURT,VAR
601,Meram,BAYAT,YOK
602,Meram,BORUKTOLU,YOK
603,Meram,BOTSA,YOK
604,Meram,ÇAYIRBAĞI,VAR
605,Meram,ÇOMAKLAR,YOK
606,Meram,ÇUKURÇİMEN,YOK
607,Meram,EVLİYATEKKE,YOK
608,Meram,HATUNSARAY,YOK
609,Meram,İKİPINAR,YOK
610,Meram,İLYASBABA,YOK
611,Meram,İNLİCE,YOK
612,Meram,KARAAĞAÇ,VAR
613,Meram,KAVAK,YOK
614,Meram,KAYADİBİ,YOK
615,Meram,KAYALI,YOK
616,Meram,KAYHÜYÜK,VAR
617,Meram,KIZILÖREN,VAR
618,Meram,KUMRALI,YOK
619,Meram,SADIKLAR,VAR
620,Meram,SAĞLIK,YOK
621,Meram,SARIKIZ,YOK
622,Meram,SEFAKÖY,YOK
623,Meram,YEŞİLDERE,VAR
624,Meram,YEŞİLTEKKE,YOK
625,Meram,KAŞINHANI,YOK
626,Sarayönü,LADİK,VAR
627,Sarayönü,BAHÇESARAY,YOK
628,Sarayönü,BAŞHÜYÜK,YOK
629,Sarayönü,BOYALI,YOK
630,Sarayönü,BÜYÜKZENGİ,VAR
631,Sarayönü,ÇEŞMELİSEBİL,YOK
632,Sarayönü,DEĞİRMENLİ,YOK
633,Sarayönü,ERTUĞRUL,YOK
634,Sarayönü,GÖZLÜ,YOK
635,Sarayönü,KADIOĞLU,VAR
636,Sarayönü,KARABIYIK,YOK
637,Sarayönü,KARATEPE,YOK
638,Sarayönü,KAYIÖREN,VAR
639,Sarayönü,KONAR,YOK
640,Sarayönü,KURŞUNLU,YOK
641,Sarayönü,KUYULUSEBİL,YOK
642,Sarayönü,ÖZKENT,YOK
643,Sarayönü,YENİCEKAYA,YOK
644,Selçuklu,BAŞARAKAVAK,""
645,Selçuklu,hasan,""
646,Selçuklu,SARAYKÖY,VAR
647,Selçuklu,SULUTAS,YOK
648,Selçuklu,TATKÖY,YOK
649,Selçuklu,AKPINAR,YOK
650,Selçuklu,BAĞRIKURT,YOK
651,Selçuklu,BİÇER,YOK
652,Selçuklu,ÇALDERE,YOK
653,Selçuklu,ÇALTI,YOK
654,Selçuklu,ÇANDIR,YOK
655,Selçuklu,DAĞDERE,YOK
