_id,ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler
241,Çumra,DİNLENDİK,"ŞEKER PANCARI, MISIR"
242,Çumra,DİNEKSARAY,"ŞEKER PANCARI, FASULYE, KAVUN, KARPUZ"
243,Çumra,DOĞANLI,"ŞEKER PANCARI, MISIR, FASULYE"
244,Çumra,FETHİYE,"MISIR, FASULYE"
245,Çumra,GÖKHÜYÜK,"ŞEKER PANCARI, MISIR, YONCA"
246,Çumra,ERENTEPE,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
247,Çumra,İNLİ,"ŞEKER PANCARI, MISIR"
248,Çumra,KUZUCU,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES"
249,Çumra,KÜÇÜKKÖY,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
250,Çumra,SEÇME,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE, KAVUN"
251,Çumra,SÜRGÜÇ,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
252,Çumra,TAHTALI,"BUĞDAY, ARPA"
253,Çumra,T.KARAHÜYÜK,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
254,Çumra,TAŞAĞIL,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
255,Çumra,UZUNKUYU,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
256,Çumra,ÜÇHÜYÜK,"BUĞDAY, ŞEKER PANCARI, MISIR"
257,Çumra,ÜRÜNLÜ,"ŞEKER PANCARI, MISIR"
258,Çumra,YÖRÜKCAMİLİ,"BUĞDAY, ARPA, ŞEKER PANCARI, MISIR"
259,Çumra,ÇAYBAŞI,"ŞEKER PANCARI, MISIR, FASULYE, ÇEREZLİK KABAK"
260,Derbent,ÇİFTLİKÖZÜ,"ŞEKER PANCARI, MISIR, FASULYE"
261,Derbent,DEĞİŞ,YOK
262,Derbent,TEKKE,"BUĞDAY, ARPA"
263,Derbent,GÜNEYKÖY,"ELMA, KİRAZ, VİŞNE, ERİK"
264,Derbent,MÜLAYİM,YOK
265,Derbent,SARAYPINAR,"ELMA, KİRAZ, VİŞNE"
266,Derbent,YASSIÖREN,"BUĞDAY, ARPA, FASULYE"
267,Derbent,SÜLEYMAN,"BUĞDAY, ARPA, ŞEKER PANCARI, MISIR"
268,Derbent,KARALAR,"ÇİLEK, YONCA, FASULYE"
269,Derebucak,ÇAMLIK,"ELMA, DOMATES, PATATES"
270,Derebucak,DURAK,YOK
271,Derebucak,GENCEK,"ÇİLEK, FASULYE, PATATES"
272,Derebucak,GÖYNEM,"ÇİLEK, FASULYE"
273,Derebucak,PINARBAŞI,"ÇİLEK, FASULYE"
274,Derebucak,TAŞLIPINAR,"FASULYE, DOMATES, BİBER"
275,Derebucak,TEPEARASI,"KİRAZ, DOMATES"
276,Derebucak,UĞURLU,"FASULYE, DOMATES, BİBER"
277,Doğanhisar,BAŞKÖY,"ELMA, VİŞNE, ÇİLEK"
278,Doğanhisar,YAZLICA,"ŞEKER PANCARI, ÇİLEK, FASULYE, PATATES"
279,Doğanhisar,AYASLAR,"KİRAZ, VİŞNE, ÇİLEK"
280,Doğanhisar,ÇINAROBA,"AYÇİÇEĞİ, KİRAZ, VİŞNE, ÇİLEK, FASULYE"
281,Doğanhisar,DEŞTİĞİN,"ÇİLEK, FASULYE"
282,Doğanhisar,FIRINLI,"KİRAZ, VİŞNE, ÇİLEK, CEVİZ, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
283,Doğanhisar,GÜVENDİK,"VİŞNE, ÇİLEK"
284,Doğanhisar,İLYASLAR,"KİRAZ, VİŞNE, FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN"
285,Doğanhisar,KARAAĞA,ŞEKER PANCARI
286,Doğanhisar,KEMER,YOK
287,Doğanhisar,KOÇAŞ,"BUĞDAY, ARPA, NOHUT"
288,Doğanhisar,KONAKKALE,"VİŞNE, ÇİLEK, DOMATES, PATATES"
289,Doğanhisar,TEKKE,"ELMA, KİRAZ, VİŞNE, FASULYE"
290,Doğanhisar,UNCULAR,"MISIR, ÇİLEK, YONCA, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
291,Doğanhisar,YAZIR,FASULYE
292,Doğanhisar,YENİCE,"ŞEKER PANCARI, MISIR, ÇİLEK, FASULYE"
293,Emirgazi,EKİZLİ,ÜZÜM
294,Emirgazi,AKMESCİT,MISIR
295,Emirgazi,BESCİ,"ŞEKER PANCARI, MISIR, YONCA"
296,Emirgazi,DEMİRCİ,"MISIR, YONCA, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
