_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
181,Çeltik,İSHAKUŞAĞI,"KÜSPE, ARPA, HAZIR YEM"
182,Çeltik,HONAMLI,"ARPA, SAMAN, YONCA, HAZIR YEM"
183,Cihanbeyli,BÖĞRÜDELİK,"ARPA, SİLAJLIK MISIR"
184,Cihanbeyli,YAPALI,"ARPA, SİLAJLIK MISIR"
185,Cihanbeyli,YENİCEOBA,HAZIR YEM
186,Cihanbeyli,CUMHURİYET,"ARPA, SAMAN, HAZIR YEM"
187,Cihanbeyli,GEMECİK,"SAMAN, HAZIR YEM"
188,Cihanbeyli,GÖKTEPE,"KÜSPE, SAMAN, HAZIR YEM"
189,Cihanbeyli,AĞABEYLİ,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
190,Cihanbeyli,HODOĞLU,"ARPA, HAZIR YEM"
191,Cihanbeyli,KAYI,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
192,Cihanbeyli,KIRKIŞLA,HAZIR YEM
193,Cihanbeyli,KORKMAZLAR,"KÜSPE, ARPA, HAZIR YEM"
194,Cihanbeyli,KÜÇÜKBEŞKAVAK,"FİĞ, SAMAN, HAZIR YEM"
195,Cihanbeyli,MUTLUKONAK,"FİĞ, ARPA, HAZIR YEM"
196,Cihanbeyli,SAĞLIK,"KÜSPE, ARPA, SAMAN, HAZIR YEM"
197,Cihanbeyli,SIĞIRCIK,"KÜSPE, ARPA, SİLAJLIK MISIR"
198,Cihanbeyli,TURANLAR,"SAMAN, HAZIR YEM"
199,Cihanbeyli,TÜFEKÇİPINAR,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
200,Cihanbeyli,UZUNCAYAYLA,"YULAF, ARPA, HAZIR YEM"
201,Cihanbeyli,YÜNLÜKUYU,"ARPA, SAMAN, HAZIR YEM"
202,Cihanbeyli,ZAFERİYE,"ARPA, HAZIR YEM"
