_id,ilce_adi,mahalle_adi,tarimsal_sulama_suyu_kaynagi
192,Cihanbeyli,KIRKIŞLA,"ŞAHSİ KUYULAR, YERALTI SULARI"
193,Cihanbeyli,KORKMAZLAR,ŞAHSİ KUYULAR
194,Cihanbeyli,KÜÇÜKBEŞKAVAK,ŞAHSİ KUYULAR
195,Cihanbeyli,MUTLUKONAK,"ŞAHSİ KUYULAR, DERE, AKARSU"
196,Cihanbeyli,SAĞLIK,YOK
197,Cihanbeyli,SIĞIRCIK,YERALTI SULARI
198,Cihanbeyli,TURANLAR,YOK
199,Cihanbeyli,TÜFEKÇİPINAR,"ŞAHSİ KUYULAR, YERALTI SULARI"
200,Cihanbeyli,UZUNCAYAYLA,ŞAHSİ KUYULAR
201,Cihanbeyli,YÜNLÜKUYU,YOK
202,Cihanbeyli,ZAFERİYE,"ŞAHSİ KUYULAR, YERALTI SULARI"
203,Cihanbeyli,GÖLYAZI,ŞAHSİ KUYULAR
204,Cihanbeyli,GÜNYÜZÜ,"ŞAHSİ KUYULAR, YERALTI SULARI"
205,Cihanbeyli,İNSUYU,ŞAHSİ KUYULAR
206,Cihanbeyli,KANDİL,ŞAHSİ KUYULAR
207,Cihanbeyli,KARABAĞ,YOK
208,Cihanbeyli,KELHASAN,ŞAHSİ KUYULAR
209,Cihanbeyli,KUŞCA,"ŞAHSİ KUYULAR, YERALTI SULARI"
210,Cihanbeyli,KÜTÜKUŞAĞI,ŞAHSİ KUYULAR
211,Cihanbeyli,TAŞPINAR,"ŞAHSİ KUYULAR, YERALTI SULARI"
212,Cihanbeyli,BEYLİOVA,ŞAHSİ KUYULAR
213,Cihanbeyli,ÇİMEN,YERALTI SULARI
214,Cihanbeyli,ÇÖL,"ŞAHSİ KUYULAR, YERALTI SULARI"
215,Cihanbeyli,DAMLAKUYU,ŞAHSİ KUYULAR
216,Cihanbeyli,BULDUK,YOK
217,Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
218,Cihanbeyli,KARATEPE,YOK
219,Çumra,ARIKÖREN,YERALTI SULARI
220,Çumra,DEDEMOĞLU,"ŞAHSİ KUYULAR, YERALTI SULARI"
221,Çumra,TÜRKMENCAMİLİ,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
222,Çumra,A.B.HÜYÜĞÜ,KOOPERATİF KUYULARI
223,Çumra,DİNEK,"BARAJ, YERALTI SULARI"
224,Çumra,İÇERİÇUMRA,ŞAHSİ KUYULAR
225,Çumra,GÜVERCİNLİK,YERALTI SULARI
226,Çumra,KARKIN,"BARAJ, YERALTI SULARI"
227,Çumra,OKÇU,"KANAL, YERALTI SULARI"
228,Çumra,YENİSU,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
229,Çumra,APA,BARAJ
230,Çumra,ABDİTOLU,"KANAL, YERALTI SULARI"
231,Çumra,ADAKALE,YERALTI SULARI
232,Çumra,ALEMDAR,ŞAHSİ KUYULAR
233,Çumra,APASARAYCIK,ŞAHSİ KUYULAR
234,Çumra,AFŞAR,YOK
235,Çumra,AVDUL,KOOPERATİF KUYULARI
236,Çumra,BALÇIKHİSAR,KANAL
237,Çumra,BEYLERCE,YERALTI SULARI
238,Çumra,B.AŞLAMA,YERALTI SULARI
239,Çumra,CİCEK,YERALTI SULARI
240,Çumra,ÇUKURKAVAK,YERALTI SULARI
241,Çumra,DİNLENDİK,YERALTI SULARI
242,Çumra,DİNEKSARAY,"BARAJ, KOOPERATİF KUYULARI"
243,Çumra,DOĞANLI,"ŞAHSİ KUYULAR, BARAJ"
244,Çumra,FETHİYE,KOOPERATİF KUYULARI
245,Çumra,GÖKHÜYÜK,"ŞAHSİ KUYULAR, BARAJ, YERALTI SULARI"
246,Çumra,ERENTEPE,ŞAHSİ KUYULAR
247,Çumra,İNLİ,YERALTI SULARI
248,Çumra,KUZUCU,YERALTI SULARI
249,Çumra,KÜÇÜKKÖY,"ŞAHSİ KUYULAR, BARAJ, DERE"
250,Çumra,SEÇME,ŞAHSİ KUYULAR
251,Çumra,SÜRGÜÇ,KOOPERATİF KUYULARI
252,Çumra,TAHTALI,YERALTI SULARI
253,Çumra,T.KARAHÜYÜK,"BARAJ, KANAL"
254,Çumra,TAŞAĞIL,"BARAJ, YERALTI SULARI"
255,Çumra,UZUNKUYU,KOOPERATİF KUYULARI
256,Çumra,ÜÇHÜYÜK,ŞAHSİ KUYULAR
257,Çumra,ÜRÜNLÜ,YERALTI SULARI
258,Çumra,YÖRÜKCAMİLİ,YERALTI SULARI
259,Çumra,ÇAYBAŞI,KOOPERATİF KUYULARI
260,Derbent,ÇİFTLİKÖZÜ,GÖLET
261,Derbent,DEĞİŞ,YOK
262,Derbent,TEKKE,ŞAHSİ KUYULAR
263,Derbent,GÜNEYKÖY,YERALTI SULARI
264,Derbent,MÜLAYİM,YOK
265,Derbent,SARAYPINAR,ŞAHSİ KUYULAR
266,Derbent,YASSIÖREN,"GÖLET, YERALTI SULARI"
267,Derbent,SÜLEYMAN,ŞAHSİ KUYULAR
268,Derbent,KARALAR,"ŞAHSİ KUYULAR, BARAJ"
269,Derebucak,ÇAMLIK,"ŞAHSİ KUYULAR, GÖLET"
270,Derebucak,DURAK,YOK
271,Derebucak,GENCEK,GÖLET
272,Derebucak,GÖYNEM,BARAJ
273,Derebucak,PINARBAŞI,BARAJ
274,Derebucak,TAŞLIPINAR,YERALTI SULARI
275,Derebucak,TEPEARASI,ŞAHSİ KUYULAR
276,Derebucak,UĞURLU,YERALTI SULARI
277,Doğanhisar,BAŞKÖY,"BARAJ, GÖLET"
278,Doğanhisar,YAZLICA,GÖLET
279,Doğanhisar,AYASLAR,GÖLET
280,Doğanhisar,ÇINAROBA,GÖLET
281,Doğanhisar,DEŞTİĞİN,GÖLET
282,Doğanhisar,FIRINLI,"AKARSU, GÖLET"
283,Doğanhisar,GÜVENDİK,GÖLET
284,Doğanhisar,İLYASLAR,"BARAJ, GÖLET"
285,Doğanhisar,KARAAĞA,KOOPERATİF KUYULARI
286,Doğanhisar,KEMER,YOK
287,Doğanhisar,KOÇAŞ,YERALTI SULARI
288,Doğanhisar,KONAKKALE,GÖLET
289,Doğanhisar,TEKKE,"ŞAHSİ KUYULAR, BARAJ"
290,Doğanhisar,UNCULAR,"ŞAHSİ KUYULAR, YERALTI SULARI"
291,Doğanhisar,YAZIR,"ŞAHSİ KUYULAR, GÖLET"
292,Doğanhisar,YENİCE,GÖLET
293,Emirgazi,EKİZLİ,ŞAHSİ KUYULAR
294,Emirgazi,AKMESCİT,KOOPERATİF KUYULARI
295,Emirgazi,BESCİ,"ŞAHSİ KUYULAR, YERALTI SULARI"
296,Emirgazi,DEMİRCİ,ŞAHSİ KUYULAR
297,Emirgazi,GÖLÖREN,ŞAHSİ KUYULAR
298,Emirgazi,IŞIKLAR,YERALTI SULARI
299,Emirgazi,KARAÖREN,ŞAHSİ KUYULAR
300,Emirgazi,MEŞELİ,"ŞAHSİ KUYULAR, YERALTI SULARI"
301,Emirgazi,ÖBEKTAŞ,YOK
302,Emirgazi,YAMAÇ,ŞAHSİ KUYULAR
303,Ereğli,ZENGEN,"ŞAHSİ KUYULAR, YERALTI SULARI"
304,Ereğli,ACIPINAR,BARAJ
305,Ereğli,ADABAĞ,BARAJ
306,Ereğli,AKHÜYÜK,BARAJ
307,Ereğli,ALHAN,"ŞAHSİ KUYULAR, BARAJ"
308,Ereğli,AŞAĞI GÖNDELEN,"BARAJ, YERALTI SULARI"
309,Ereğli,AŞIKLAR,"YERALTI SULARI, KOOPERATİF KUYULARI"
310,Ereğli,AZİZİYE,BARAJ
311,Ereğli,BAHÇELİ,BARAJ
312,Ereğli,BELCEAĞAÇ,BARAJ
313,Ereğli,BELKAYA,"YERALTI SULARI, KOOPERATİF KUYULARI"
314,Ereğli,BEYKÖY,BARAJ
315,Ereğli,BEYÖREN,"ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI"
316,Ereğli,BULGURLUK,BARAJ
317,Ereğli,BURHANİYE,BARAJ
318,Ereğli,BÜYÜKDEDE,AKARSU
