,tarih,değer (ton)
766,2015-01-28,"57025,0"
767,2015-01-29,"51205,0"
768,2015-01-30,"51320,0"
769,2015-01-31,"50300,0"
770,2015-01-02,"50120,0"
771,2015-02-02,"48220,0"
772,2015-03-02,"62515,0"
773,2015-04-02,"53450,0"
774,2015-05-02,"45615,0"
775,2015-06-02,"50825,0"
776,2015-07-02,"53925,0"
777,2015-08-02,"55365,0"
778,2015-09-02,"55530,0"
779,2015-10-02,"52950,0"
780,2015-11-02,"49245,0"
781,2015-12-02,"46505,0"
782,2015-02-13,"46835,0"
783,2015-02-14,"48255,0"
784,2015-02-15,"54425,0"
785,2015-02-16,"56940,0"
786,2015-02-17,"53180,0"
787,2015-02-18,"42295,0"
788,2015-02-19,"46060,0"
789,2015-02-20,"48830,0"
790,2015-02-21,"57975,0"
791,2015-02-22,"50270,0"
792,2015-02-23,"62335,0"
793,2015-02-24,"61840,0"
794,2015-02-25,"58820,0"
795,2015-02-26,"52940,0"
796,2015-02-27,"57390,0"
797,2015-02-28,"57730,0"
798,2015-01-03,"53745,0"
799,2015-02-03,"58850,0"
800,2015-03-03,"56705,0"
801,2015-04-03,"51815,0"
802,2015-05-03,"59190,0"
803,2015-06-03,"53975,0"
804,2015-07-03,"58970,0"
805,2015-08-03,"56350,0"
806,2015-09-03,"60475,0"
807,2015-10-03,"64555,0"
808,2015-11-03,"58235,0"
809,2015-12-03,"57640,0"
810,2015-03-13,"48810,0"
811,2015-03-14,"52505,0"
812,2015-03-15,"52540,0"
813,2015-03-16,"54530,0"
814,2015-03-17,"60925,0"
815,2015-03-18,"50215,0"
816,2015-03-19,"52390,0"
817,2015-03-20,"51985,0"
818,2015-03-21,"48075,0"
819,2015-03-22,"54610,0"
820,2015-03-23,"61700,0"
821,2015-03-24,"60560,0"
822,2015-03-25,"53950,0"
823,2015-03-26,"52715,0"
824,2015-03-27,"58745,0"
825,2015-03-28,"53285,0"
826,2015-03-29,"52830,0"
827,2015-03-30,"59200,0"
828,2015-03-31,"60740,0"
829,2015-01-04,"56830,0"
830,2015-02-04,"51345,0"
831,2015-03-04,"52765,0"
832,2015-04-04,"49700,0"
833,2015-05-04,"47780,0"
834,2015-06-04,"59540,0"
835,2015-07-04,"59270,0"
836,2015-08-04,"60785,0"
837,2015-09-04,"55235,0"
838,2015-10-04,"47770,0"
839,2015-11-04,"43190,0"
840,2015-12-04,"47140,0"
841,2015-04-13,"49030,0"
842,2015-04-14,"52270,0"
843,2015-04-15,"50995,0"
844,2015-04-16,"52915,0"
845,2015-04-17,"55155,0"
846,2015-04-18,"51600,0"
847,2015-04-19,"55230,0"
848,2015-04-20,"57990,0"
849,2015-04-21,"61765,0"
850,2015-04-22,"47765,0"
851,2015-04-23,"45680,0"
852,2015-04-24,"48960,0"
853,2015-04-25,"49360,0"
854,2015-04-26,"53570,0"
855,2015-04-27,"50940,0"
856,2015-04-28,"61905,0"
857,2015-04-29,"55760,0"
858,2015-04-30,"57575,0"
859,2015-01-05,"55860,0"
860,2015-02-05,"52675,0"
861,2015-03-05,"62555,0"
862,2015-04-05,"54915,0"
863,2015-05-05,"58625,0"
864,2015-06-05,"53410,0"
865,2015-07-05,"55735,0"
