,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
462,2020-01-20,18:00:00,2814,2780
463,2020-01-20,19:00:00,2074,2043
464,2020-01-20,20:00:00,1131,1118
465,2020-01-20,21:00:00,804,795
466,2020-01-20,22:00:00,608,602
467,2020-01-20,23:00:00,221,220
468,2020-01-21,00:00:00,46,46
469,2020-01-21,01:00:00,9,9
470,2020-01-21,02:00:00,1,1
471,2020-01-21,03:00:00,2,2
472,2020-01-21,05:00:00,2,2
473,2020-01-21,06:00:00,67,67
474,2020-01-21,07:00:00,1185,1174
475,2020-01-21,08:00:00,1656,1636
476,2020-01-21,09:00:00,1536,1521
477,2020-01-21,10:00:00,1654,1637
478,2020-01-21,11:00:00,2048,2026
479,2020-01-21,12:00:00,2623,2600
480,2020-01-21,13:00:00,2416,2389
481,2020-01-21,14:00:00,2314,2288
482,2020-01-21,15:00:00,2170,2147
483,2020-01-21,16:00:00,2273,2246
484,2020-01-21,17:00:00,2378,2347
485,2020-01-21,18:00:00,2352,2321
486,2020-01-21,19:00:00,1806,1787
487,2020-01-21,20:00:00,1056,1039
488,2020-01-21,21:00:00,712,703
489,2020-01-21,22:00:00,531,521
490,2020-01-21,23:00:00,245,242
491,2020-01-22,00:00:00,44,44
492,2020-01-22,01:00:00,12,12
493,2020-01-22,03:00:00,1,1
494,2020-01-22,04:00:00,1,1
495,2020-01-22,05:00:00,3,2
496,2020-01-22,06:00:00,80,80
497,2020-01-22,07:00:00,1158,1140
498,2020-01-22,08:00:00,1816,1796
499,2020-01-22,09:00:00,1724,1712
500,2020-01-22,10:00:00,1843,1814
501,2020-01-22,11:00:00,2421,2389
502,2020-01-22,12:00:00,3131,3098
503,2020-01-22,13:00:00,2834,2793
504,2020-01-22,14:00:00,2677,2642
505,2020-01-22,15:00:00,2410,2366
506,2020-01-22,16:00:00,2572,2537
507,2020-01-22,17:00:00,2597,2563
508,2020-01-22,18:00:00,2523,2498
509,2020-01-22,19:00:00,2039,2015
510,2020-01-22,20:00:00,1168,1147
511,2020-01-22,21:00:00,763,754
512,2020-01-22,22:00:00,558,553
513,2020-01-22,23:00:00,236,235
514,2020-01-23,00:00:00,61,57
515,2020-01-23,02:00:00,2,2
516,2020-01-23,03:00:00,2,2
517,2020-01-23,04:00:00,2,2
518,2020-01-23,05:00:00,2,2
519,2020-01-23,06:00:00,89,89
520,2020-01-23,07:00:00,1195,1182
521,2020-01-23,08:00:00,1723,1708
522,2020-01-23,09:00:00,1676,1654
523,2020-01-23,10:00:00,1945,1922
524,2020-01-23,11:00:00,2549,2505
525,2020-01-23,12:00:00,3268,3218
526,2020-01-23,13:00:00,2781,2741
527,2020-01-23,14:00:00,2582,2540
528,2020-01-23,15:00:00,2417,2383
529,2020-01-23,16:00:00,2441,2406
530,2020-01-23,17:00:00,2480,2451
531,2020-01-23,18:00:00,2534,2511
532,2020-01-23,19:00:00,1854,1828
533,2020-01-23,20:00:00,1086,1072
534,2020-01-23,21:00:00,765,754
535,2020-01-23,22:00:00,549,542
536,2020-01-23,23:00:00,238,235
