tarih_saat,yukleme_adedi,yukleme_yapilan_kart_adedi
2021-01-28 22:00:00,9,9
2021-01-28 23:00:00,10,10
2021-01-29 00:00:00,7,7
2021-01-29 01:00:00,2,2
2021-01-29 03:00:00,1,1
2021-01-29 05:00:00,4,2
2021-01-29 06:00:00,63,63
2021-01-29 07:00:00,683,678
2021-01-29 08:00:00,916,913
2021-01-29 09:00:00,865,855
2021-01-29 10:00:00,904,890
2021-01-29 11:00:00,1037,1027
2021-01-29 12:00:00,1318,1308
2021-01-29 13:00:00,1059,1048
2021-01-29 14:00:00,1444,1429
2021-01-29 15:00:00,1255,1238
2021-01-29 16:00:00,1197,1187
2021-01-29 17:00:00,1196,1181
2021-01-29 18:00:00,1477,1463
2021-01-29 19:00:00,1343,1333
2021-01-29 20:00:00,529,525
2021-01-29 21:00:00,46,45
2021-01-29 22:00:00,27,27
2021-01-29 23:00:00,10,8
2021-01-30 00:00:00,8,8
2021-01-30 03:00:00,1,1
2021-01-30 05:00:00,2,2
2021-01-30 06:00:00,6,6
2021-01-30 07:00:00,35,31
2021-01-30 08:00:00,40,40
2021-01-30 09:00:00,25,25
2021-01-30 10:00:00,84,82
2021-01-30 11:00:00,85,85
2021-01-30 12:00:00,122,121
2021-01-30 13:00:00,219,215
2021-01-30 14:00:00,257,253
2021-01-30 15:00:00,218,206
2021-01-30 16:00:00,221,221
2021-01-30 17:00:00,107,106
2021-01-30 18:00:00,48,47
2021-01-30 19:00:00,15,14
2021-01-30 20:00:00,9,9
2021-01-30 21:00:00,11,11
2021-01-30 22:00:00,5,5
2021-01-30 23:00:00,8,8
2021-01-31 01:00:00,4,4
2021-01-31 06:00:00,2,2
2021-01-31 07:00:00,14,14
2021-01-31 08:00:00,10,10
2021-01-31 09:00:00,22,22
2021-01-31 10:00:00,65,65
2021-01-31 11:00:00,133,132
2021-01-31 12:00:00,209,206
2021-01-31 13:00:00,294,289
2021-01-31 14:00:00,354,349
2021-01-31 15:00:00,373,368
2021-01-31 16:00:00,343,338
2021-01-31 17:00:00,103,101
