_id,tarih,deger,birim
389,2014-01-15T00:00:00,55915,Ton
390,2014-01-16T00:00:00,58195,Ton
391,2014-01-17T00:00:00,52970,Ton
392,2014-01-18T00:00:00,55630,Ton
393,2014-01-19T00:00:00,60045,Ton
394,2014-01-20T00:00:00,51765,Ton
395,2014-01-21T00:00:00,60440,Ton
396,2014-01-22T00:00:00,60000,Ton
397,2014-01-23T00:00:00,56200,Ton
398,2014-01-24T00:00:00,63120,Ton
399,2014-01-25T00:00:00,46590,Ton
400,2014-01-26T00:00:00,56425,Ton
401,2014-01-27T00:00:00,54670,Ton
402,2014-01-28T00:00:00,59770,Ton
403,2014-01-29T00:00:00,51700,Ton
404,2014-01-30T00:00:00,51845,Ton
405,2014-01-31T00:00:00,57940,Ton
406,2014-01-02T00:00:00,52830,Ton
407,2014-02-02T00:00:00,59380,Ton
408,2014-03-02T00:00:00,72470,Ton
409,2014-04-02T00:00:00,57935,Ton
410,2014-05-02T00:00:00,57015,Ton
411,2014-06-02T00:00:00,46500,Ton
412,2014-07-02T00:00:00,55800,Ton
413,2014-08-02T00:00:00,51800,Ton
414,2014-09-02T00:00:00,54405,Ton
415,2014-10-02T00:00:00,56775,Ton
416,2014-11-02T00:00:00,52855,Ton
417,2014-12-02T00:00:00,53800,Ton
418,2014-02-13T00:00:00,53705,Ton
419,2014-02-14T00:00:00,52650,Ton
420,2014-02-15T00:00:00,53830,Ton
421,2014-02-16T00:00:00,56090,Ton
422,2014-02-17T00:00:00,52075,Ton
423,2014-02-18T00:00:00,61170,Ton
424,2014-02-19T00:00:00,56970,Ton
425,2014-02-20T00:00:00,57145,Ton
426,2014-02-21T00:00:00,53800,Ton
427,2014-02-22T00:00:00,52410,Ton
428,2014-02-23T00:00:00,77675,Ton
429,2014-02-24T00:00:00,68995,Ton
430,2014-02-25T00:00:00,99190,Ton
431,2014-02-26T00:00:00,64490,Ton
432,2014-02-27T00:00:00,56655,Ton
433,2014-02-28T00:00:00,49965,Ton
434,2014-01-03T00:00:00,60915,Ton
435,2014-02-03T00:00:00,60280,Ton
436,2014-03-03T00:00:00,62040,Ton
437,2014-04-03T00:00:00,59720,Ton
438,2014-05-03T00:00:00,52820,Ton
439,2014-06-03T00:00:00,47610,Ton
440,2014-07-03T00:00:00,55690,Ton
441,2014-08-03T00:00:00,53465,Ton
442,2014-09-03T00:00:00,55470,Ton
443,2014-10-03T00:00:00,60945,Ton
444,2014-11-03T00:00:00,60170,Ton
445,2014-12-03T00:00:00,53895,Ton
446,2014-03-13T00:00:00,55780,Ton
447,2014-03-14T00:00:00,54265,Ton
448,2014-03-15T00:00:00,50145,Ton
449,2014-03-16T00:00:00,51690,Ton
450,2014-03-17T00:00:00,55640,Ton
451,2014-03-18T00:00:00,55445,Ton
452,2014-03-19T00:00:00,53980,Ton
453,2014-03-20T00:00:00,54140,Ton
454,2014-03-21T00:00:00,63285,Ton
455,2014-03-22T00:00:00,53080,Ton
456,2014-03-23T00:00:00,50530,Ton
457,2014-03-24T00:00:00,53060,Ton
458,2014-03-25T00:00:00,54170,Ton
459,2014-03-26T00:00:00,51205,Ton
460,2014-03-27T00:00:00,60650,Ton
461,2014-03-28T00:00:00,46995,Ton
462,2014-03-29T00:00:00,41985,Ton
463,2014-03-30T00:00:00,44250,Ton
464,2014-03-31T00:00:00,44905,Ton
465,2014-01-04T00:00:00,49920,Ton
466,2014-02-04T00:00:00,52030,Ton
467,2014-03-04T00:00:00,50700,Ton
468,2014-04-04T00:00:00,39910,Ton
469,2014-05-04T00:00:00,42970,Ton
