_id,tarih,deger,birim
282,2013-09-30T00:00:00,38825,Ton
283,2013-01-10T00:00:00,37605,Ton
284,2013-02-10T00:00:00,32725,Ton
285,2013-03-10T00:00:00,27405,Ton
286,2013-04-10T00:00:00,30405,Ton
287,2013-05-10T00:00:00,31130,Ton
288,2013-06-10T00:00:00,17720,Ton
289,2013-07-10T00:00:00,39105,Ton
290,2013-08-10T00:00:00,36175,Ton
291,2013-09-10T00:00:00,34970,Ton
292,2013-10-10T00:00:00,36955,Ton
293,2013-11-10T00:00:00,35505,Ton
294,2013-12-10T00:00:00,35305,Ton
295,2013-10-13T00:00:00,23415,Ton
296,2013-10-14T00:00:00,44220,Ton
297,2013-10-15T00:00:00,38760,Ton
298,2013-10-16T00:00:00,57635,Ton
299,2013-10-17T00:00:00,41910,Ton
300,2013-10-18T00:00:00,30030,Ton
301,2013-10-19T00:00:00,31330,Ton
302,2013-10-20T00:00:00,18530,Ton
303,2013-10-21T00:00:00,40440,Ton
304,2013-10-22T00:00:00,41715,Ton
305,2013-10-23T00:00:00,35680,Ton
306,2013-10-24T00:00:00,35520,Ton
307,2013-10-25T00:00:00,33590,Ton
308,2013-10-26T00:00:00,34035,Ton
309,2013-10-27T00:00:00,21625,Ton
310,2013-10-28T00:00:00,41400,Ton
311,2013-10-29T00:00:00,37070,Ton
312,2013-10-30T00:00:00,34470,Ton
313,2013-10-31T00:00:00,32950,Ton
314,2013-01-11T00:00:00,31060,Ton
315,2013-02-11T00:00:00,31835,Ton
316,2013-03-11T00:00:00,17990,Ton
317,2013-04-11T00:00:00,40170,Ton
318,2013-05-11T00:00:00,34725,Ton
319,2013-06-11T00:00:00,35790,Ton
320,2013-07-11T00:00:00,36760,Ton
321,2013-08-11T00:00:00,33625,Ton
322,2013-09-11T00:00:00,31990,Ton
323,2013-10-11T00:00:00,18000,Ton
324,2013-11-11T00:00:00,42960,Ton
325,2013-12-11T00:00:00,38700,Ton
326,2013-11-13T00:00:00,32125,Ton
327,2013-11-14T00:00:00,33415,Ton
328,2013-11-15T00:00:00,31815,Ton
329,2013-11-16T00:00:00,33185,Ton
330,2013-11-17T00:00:00,18435,Ton
331,2013-11-18T00:00:00,42350,Ton
332,2013-11-19T00:00:00,37655,Ton
333,2013-11-20T00:00:00,35410,Ton
334,2013-11-21T00:00:00,28880,Ton
335,2013-11-22T00:00:00,30745,Ton
336,2013-11-23T00:00:00,34540,Ton
337,2013-11-24T00:00:00,21770,Ton
338,2013-11-25T00:00:00,45025,Ton
339,2013-11-26T00:00:00,39015,Ton
340,2013-11-27T00:00:00,40230,Ton
341,2013-11-28T00:00:00,37315,Ton
342,2013-11-29T00:00:00,37705,Ton
343,2013-11-30T00:00:00,35135,Ton
344,2013-01-12T00:00:00,19445,Ton
345,2013-02-12T00:00:00,42300,Ton
346,2013-03-12T00:00:00,42285,Ton
347,2013-04-12T00:00:00,34640,Ton
348,2013-05-12T00:00:00,33000,Ton
349,2013-06-12T00:00:00,31580,Ton
350,2013-07-12T00:00:00,33135,Ton
351,2013-08-12T00:00:00,18370,Ton
352,2013-09-12T00:00:00,40760,Ton
353,2013-10-12T00:00:00,36840,Ton
354,2013-11-12T00:00:00,30650,Ton
355,2013-12-12T00:00:00,26940,Ton
356,2013-12-13T00:00:00,29150,Ton
357,2013-12-14T00:00:00,33095,Ton
358,2013-12-15T00:00:00,16385,Ton
359,2013-12-16T00:00:00,41835,Ton
360,2013-12-17T00:00:00,45130,Ton
361,2013-12-18T00:00:00,38380,Ton
362,2013-12-19T00:00:00,34880,Ton
363,2013-12-20T00:00:00,30860,Ton
364,2013-12-21T00:00:00,32350,Ton
365,2013-12-22T00:00:00,15725,Ton
366,2013-12-23T00:00:00,38720,Ton
367,2013-12-24T00:00:00,36280,Ton
368,2013-12-25T00:00:00,34785,Ton
369,2013-12-26T00:00:00,34000,Ton
370,2013-12-27T00:00:00,38815,Ton
371,2013-12-28T00:00:00,37775,Ton
372,2013-12-29T00:00:00,19350,Ton
373,2013-12-30T00:00:00,41230,Ton
374,2013-12-31T00:00:00,44960,Ton
375,2014-01-01T00:00:00,40830,Ton
376,2014-02-01T00:00:00,36175,Ton
377,2014-03-01T00:00:00,31370,Ton
