,tarih,değer (ton)
579,2014-07-25,"28925,0"
580,2014-07-26,"38155,0"
581,2014-07-27,"35950,0"
582,2014-07-28,"30430,0"
583,2014-07-29,"27430,0"
584,2014-07-30,"20375,0"
585,2014-07-31,"25285,0"
586,2014-01-08,"25205,0"
587,2014-02-08,"30315,0"
588,2014-03-08,"15675,0"
589,2014-04-08,"36015,0"
590,2014-05-08,"35465,0"
591,2014-06-08,"34625,0"
592,2014-07-08,"29980,0"
593,2014-08-08,"32145,0"
594,2014-09-08,"32020,0"
595,2014-10-08,"14430,0"
596,2014-11-08,"38895,0"
597,2014-12-08,"36735,0"
598,2014-08-13,"32865,0"
599,2014-08-14,"31505,0"
600,2014-08-15,"31325,0"
601,2014-08-16,"30675,0"
602,2014-08-17,"14150,0"
603,2014-08-18,"39040,0"
604,2014-08-19,"39215,0"
605,2014-08-20,"33020,0"
606,2014-08-21,"32790,0"
607,2014-08-22,"31565,0"
608,2014-08-23,"32890,0"
609,2014-08-24,"18645,0"
610,2014-08-25,"38715,0"
611,2014-08-26,"37335,0"
612,2014-08-27,"31910,0"
613,2014-08-28,"32965,0"
614,2014-08-29,"32225,0"
615,2014-08-30,"33690,0"
616,2014-08-31,"14965,0"
617,2014-01-09,"46200,0"
618,2014-02-09,"36375,0"
619,2014-03-09,"35650,0"
620,2014-04-09,"31675,0"
621,2014-05-09,"34200,0"
622,2014-06-09,"31065,0"
623,2014-07-09,"18390,0"
624,2014-08-09,"43405,0"
625,2014-09-09,"39045,0"
626,2014-10-09,"36885,0"
627,2014-11-09,"35790,0"
628,2014-12-09,"36180,0"
629,2014-09-13,"34165,0"
630,2014-09-14,"20330,0"
631,2014-09-15,"43045,0"
632,2014-09-16,"38445,0"
633,2014-09-17,"36375,0"
634,2014-09-18,"33115,0"
635,2014-09-19,"34440,0"
636,2014-09-20,"35310,0"
637,2014-09-21,"17600,0"
638,2014-09-22,"42445,0"
639,2014-09-23,"36860,0"
640,2014-09-24,"35595,0"
641,2014-09-25,"33155,0"
642,2014-09-26,"32330,0"
643,2014-09-27,"31615,0"
644,2014-09-28,"18365,0"
645,2014-09-29,"41655,0"
646,2014-09-30,"41265,0"
647,2014-01-10,"37665,0"
648,2014-02-10,"37810,0"
649,2014-03-10,"40295,0"
650,2014-04-10,"36390,0"
651,2014-05-10,"59380,0"
652,2014-06-10,"39975,0"
653,2014-07-10,"37975,0"
654,2014-08-10,"35135,0"
655,2014-09-10,"31320,0"
656,2014-10-10,"31280,0"
657,2014-11-10,"29050,0"
658,2014-12-10,"17955,0"
659,2014-10-13,"37350,0"
660,2014-10-14,"38355,0"
661,2014-10-15,"34345,0"
662,2014-10-16,"31825,0"
663,2014-10-17,"33070,0"
664,2014-10-18,"30500,0"
665,2014-10-19,"17525,0"
666,2014-10-20,"41240,0"
667,2014-10-21,"43000,0"
668,2014-10-22,"38785,0"
669,2014-10-23,"30930,0"
670,2014-10-24,"32395,0"
671,2014-10-25,"31695,0"
672,2014-10-26,"17815,0"
673,2014-10-27,"43145,0"
674,2014-10-28,"45485,0"
675,2014-10-29,"39755,0"
676,2014-10-30,"31380,0"
677,2014-10-31,"32735,0"
678,2014-01-11,"31095,0"
679,2014-02-11,"15560,0"
