_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
492,2019-01-22T00:00:00,6,66,66
493,2019-01-22T00:00:00,7,1014,1008
494,2019-01-22T00:00:00,8,1744,1724
495,2019-01-22T00:00:00,9,1814,1790
496,2019-01-22T00:00:00,10,1782,1762
497,2019-01-22T00:00:00,11,2419,2389
498,2019-01-22T00:00:00,12,2989,2951
499,2019-01-22T00:00:00,13,2707,2676
500,2019-01-22T00:00:00,14,2527,2498
501,2019-01-22T00:00:00,15,2496,2466
502,2019-01-22T00:00:00,16,2342,2306
503,2019-01-22T00:00:00,17,2647,2622
504,2019-01-22T00:00:00,18,2512,2494
505,2019-01-22T00:00:00,19,1770,1755
506,2019-01-22T00:00:00,20,996,987
507,2019-01-22T00:00:00,21,737,730
508,2019-01-22T00:00:00,22,605,595
509,2019-01-22T00:00:00,23,305,303
510,2019-01-23T00:00:00,0,46,46
511,2019-01-23T00:00:00,1,3,3
512,2019-01-23T00:00:00,2,1,1
513,2019-01-23T00:00:00,3,7,7
514,2019-01-23T00:00:00,5,4,4
515,2019-01-23T00:00:00,6,70,69
516,2019-01-23T00:00:00,7,937,929
517,2019-01-23T00:00:00,8,1658,1637
518,2019-01-23T00:00:00,9,1628,1611
519,2019-01-23T00:00:00,10,1761,1742
520,2019-01-23T00:00:00,11,2318,2284
521,2019-01-23T00:00:00,12,2860,2827
522,2019-01-23T00:00:00,13,2692,2658
523,2019-01-23T00:00:00,14,2508,2481
524,2019-01-23T00:00:00,15,2342,2307
525,2019-01-23T00:00:00,16,2483,2452
526,2019-01-23T00:00:00,17,2793,2754
527,2019-01-23T00:00:00,18,2590,2568
528,2019-01-23T00:00:00,19,1804,1778
529,2019-01-23T00:00:00,20,1045,1030
530,2019-01-23T00:00:00,21,785,773
531,2019-01-23T00:00:00,22,509,496
532,2019-01-23T00:00:00,23,340,336
533,2019-01-24T00:00:00,0,42,40
534,2019-01-24T00:00:00,1,3,3
535,2019-01-24T00:00:00,2,1,1
536,2019-01-24T00:00:00,4,3,3
537,2019-01-24T00:00:00,5,3,3
538,2019-01-24T00:00:00,6,71,70
539,2019-01-24T00:00:00,7,889,885
540,2019-01-24T00:00:00,8,1647,1633
541,2019-01-24T00:00:00,9,1634,1609
542,2019-01-24T00:00:00,10,1735,1715
