,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
449,2021-01-22,10:00:00,864,856
450,2021-01-22,11:00:00,989,974
451,2021-01-22,12:00:00,1150,1141
452,2021-01-22,13:00:00,1029,1014
453,2021-01-22,14:00:00,1420,1401
454,2021-01-22,15:00:00,1241,1222
455,2021-01-22,16:00:00,1216,1194
456,2021-01-22,17:00:00,1179,1167
457,2021-01-22,18:00:00,1429,1416
458,2021-01-22,19:00:00,1212,1191
459,2021-01-22,20:00:00,487,478
460,2021-01-22,21:00:00,50,50
461,2021-01-22,22:00:00,11,11
462,2021-01-22,23:00:00,10,10
463,2021-01-23,00:00:00,3,3
464,2021-01-23,06:00:00,10,10
465,2021-01-23,07:00:00,32,31
466,2021-01-23,08:00:00,35,33
467,2021-01-23,09:00:00,41,41
468,2021-01-23,10:00:00,65,63
469,2021-01-23,11:00:00,75,73
470,2021-01-23,12:00:00,127,127
471,2021-01-23,13:00:00,194,192
472,2021-01-23,14:00:00,245,233
473,2021-01-23,15:00:00,228,225
474,2021-01-23,16:00:00,259,252
475,2021-01-23,17:00:00,103,102
476,2021-01-23,18:00:00,62,58
477,2021-01-23,19:00:00,17,15
478,2021-01-23,20:00:00,13,13
479,2021-01-23,21:00:00,10,10
480,2021-01-23,22:00:00,6,6
481,2021-01-23,23:00:00,4,4
482,2021-01-24,00:00:00,1,1
483,2021-01-24,01:00:00,1,1
484,2021-01-24,06:00:00,1,1
485,2021-01-24,07:00:00,14,14
486,2021-01-24,08:00:00,18,18
487,2021-01-24,09:00:00,23,20
488,2021-01-24,10:00:00,77,77
489,2021-01-24,11:00:00,103,101
490,2021-01-24,12:00:00,173,169
491,2021-01-24,13:00:00,263,259
492,2021-01-24,14:00:00,281,278
493,2021-01-24,15:00:00,359,355
494,2021-01-24,16:00:00,340,337
495,2021-01-24,17:00:00,92,91
496,2021-01-24,18:00:00,35,30
497,2021-01-24,19:00:00,19,19
498,2021-01-24,20:00:00,17,17
499,2021-01-24,21:00:00,22,20
500,2021-01-24,22:00:00,24,24
501,2021-01-24,23:00:00,24,24
502,2021-01-25,00:00:00,6,6
503,2021-01-25,01:00:00,2,2
504,2021-01-25,02:00:00,1,1
505,2021-01-25,03:00:00,2,2
506,2021-01-25,04:00:00,1,1
507,2021-01-25,05:00:00,3,3
508,2021-01-25,06:00:00,125,125
509,2021-01-25,07:00:00,1290,1283
510,2021-01-25,08:00:00,1431,1427
511,2021-01-25,09:00:00,1233,1218
512,2021-01-25,10:00:00,1185,1178
513,2021-01-25,11:00:00,1381,1370
514,2021-01-25,12:00:00,1819,1799
515,2021-01-25,13:00:00,1670,1652
516,2021-01-25,14:00:00,1604,1586
517,2021-01-25,15:00:00,1523,1505
518,2021-01-25,16:00:00,1439,1421
519,2021-01-25,17:00:00,1330,1314
520,2021-01-25,18:00:00,1707,1698
521,2021-01-25,19:00:00,1426,1413
522,2021-01-25,20:00:00,536,526
523,2021-01-25,21:00:00,57,57
524,2021-01-25,22:00:00,16,15
525,2021-01-25,23:00:00,23,23
526,2021-01-26,00:00:00,3,3
527,2021-01-26,01:00:00,1,1
528,2021-01-26,04:00:00,1,1
529,2021-01-26,05:00:00,1,1
530,2021-01-26,06:00:00,64,64
531,2021-01-26,07:00:00,751,745
532,2021-01-26,08:00:00,1010,1001
533,2021-01-26,09:00:00,925,915
534,2021-01-26,10:00:00,978,971
535,2021-01-26,11:00:00,1104,1094
536,2021-01-26,12:00:00,1416,1405
537,2021-01-26,13:00:00,1440,1430
538,2021-01-26,14:00:00,1339,1325
539,2021-01-26,15:00:00,1173,1151
540,2021-01-26,16:00:00,1250,1237
541,2021-01-26,17:00:00,1174,1154
542,2021-01-26,18:00:00,1340,1319
543,2021-01-26,19:00:00,1240,1223
544,2021-01-26,20:00:00,456,449
545,2021-01-26,21:00:00,38,38
546,2021-01-26,22:00:00,29,29
547,2021-01-26,23:00:00,20,20
548,2021-01-27,00:00:00,9,9
549,2021-01-27,02:00:00,3,3
550,2021-01-27,03:00:00,3,3
551,2021-01-27,06:00:00,60,60
552,2021-01-27,07:00:00,731,720
553,2021-01-27,08:00:00,935,927
554,2021-01-27,09:00:00,878,871
555,2021-01-27,10:00:00,883,875
556,2021-01-27,11:00:00,1080,1061
557,2021-01-27,12:00:00,1348,1328
558,2021-01-27,13:00:00,1327,1312
559,2021-01-27,14:00:00,1119,1100
560,2021-01-27,15:00:00,1177,1162
561,2021-01-27,16:00:00,1102,1085
562,2021-01-27,17:00:00,1014,1004
563,2021-01-27,18:00:00,1183,1174
564,2021-01-27,19:00:00,977,967
565,2021-01-27,20:00:00,367,363
566,2021-01-27,21:00:00,52,51
567,2021-01-27,22:00:00,27,27
568,2021-01-27,23:00:00,17,16
569,2021-01-28,00:00:00,2,2
570,2021-01-28,02:00:00,1,1
571,2021-01-28,03:00:00,1,1
572,2021-01-28,05:00:00,3,3
573,2021-01-28,06:00:00,66,66
574,2021-01-28,07:00:00,708,700
575,2021-01-28,08:00:00,868,865
576,2021-01-28,09:00:00,826,820
577,2021-01-28,10:00:00,873,861
578,2021-01-28,11:00:00,1033,1026
579,2021-01-28,12:00:00,1370,1353
580,2021-01-28,13:00:00,1371,1352
581,2021-01-28,14:00:00,1219,1207
582,2021-01-28,15:00:00,1172,1158
583,2021-01-28,16:00:00,1195,1173
584,2021-01-28,17:00:00,1026,1019
585,2021-01-28,18:00:00,1381,1368
586,2021-01-28,19:00:00,1302,1284
587,2021-01-28,20:00:00,466,458
588,2021-01-28,21:00:00,55,52
589,2021-01-28,22:00:00,9,9
590,2021-01-28,23:00:00,10,10
591,2021-01-29,00:00:00,7,7
592,2021-01-29,01:00:00,2,2
593,2021-01-29,03:00:00,1,1
594,2021-01-29,05:00:00,4,2
595,2021-01-29,06:00:00,63,63
596,2021-01-29,07:00:00,683,678
597,2021-01-29,08:00:00,916,913
598,2021-01-29,09:00:00,865,855
599,2021-01-29,10:00:00,904,890
600,2021-01-29,11:00:00,1037,1027
601,2021-01-29,12:00:00,1318,1308
602,2021-01-29,13:00:00,1059,1048
603,2021-01-29,14:00:00,1444,1429
604,2021-01-29,15:00:00,1255,1238
605,2021-01-29,16:00:00,1197,1187
606,2021-01-29,17:00:00,1196,1181
607,2021-01-29,18:00:00,1477,1463
608,2021-01-29,19:00:00,1343,1333
609,2021-01-29,20:00:00,529,525
610,2021-01-29,21:00:00,46,45
611,2021-01-29,22:00:00,27,27
612,2021-01-29,23:00:00,10,8
613,2021-01-30,00:00:00,8,8
614,2021-01-30,03:00:00,1,1
615,2021-01-30,05:00:00,2,2
616,2021-01-30,06:00:00,6,6
617,2021-01-30,07:00:00,35,31
618,2021-01-30,08:00:00,40,40
619,2021-01-30,09:00:00,25,25
620,2021-01-30,10:00:00,84,82
621,2021-01-30,11:00:00,85,85
622,2021-01-30,12:00:00,122,121
623,2021-01-30,13:00:00,219,215
624,2021-01-30,14:00:00,257,253
625,2021-01-30,15:00:00,218,206
