_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
400,2020-01-18T00:00:00,1,15,15
401,2020-01-18T00:00:00,2,2,2
402,2020-01-18T00:00:00,3,3,3
403,2020-01-18T00:00:00,5,4,4
404,2020-01-18T00:00:00,6,69,68
405,2020-01-18T00:00:00,7,1135,1123
406,2020-01-18T00:00:00,8,2022,2002
407,2020-01-18T00:00:00,9,1313,1299
408,2020-01-18T00:00:00,10,1708,1692
409,2020-01-18T00:00:00,11,2300,2272
410,2020-01-18T00:00:00,12,2966,2934
411,2020-01-18T00:00:00,13,2912,2877
412,2020-01-18T00:00:00,14,2663,2636
413,2020-01-18T00:00:00,15,2531,2494
414,2020-01-18T00:00:00,16,2603,2561
415,2020-01-18T00:00:00,17,2721,2686
416,2020-01-18T00:00:00,18,2338,2313
417,2020-01-18T00:00:00,19,1656,1630
418,2020-01-18T00:00:00,20,1101,1084
419,2020-01-18T00:00:00,21,734,723
420,2020-01-18T00:00:00,22,679,669
421,2020-01-18T00:00:00,23,309,304
422,2020-01-19T00:00:00,0,51,50
423,2020-01-19T00:00:00,1,5,5
424,2020-01-19T00:00:00,4,2,2
425,2020-01-19T00:00:00,5,1,1
426,2020-01-19T00:00:00,6,9,9
427,2020-01-19T00:00:00,7,266,263
428,2020-01-19T00:00:00,8,711,708
429,2020-01-19T00:00:00,9,690,684
430,2020-01-19T00:00:00,10,945,933
431,2020-01-19T00:00:00,11,1489,1476
432,2020-01-19T00:00:00,12,2114,2082
433,2020-01-19T00:00:00,13,2250,2217
434,2020-01-19T00:00:00,14,2199,2161
435,2020-01-19T00:00:00,15,2123,2081
436,2020-01-19T00:00:00,16,1998,1960
437,2020-01-19T00:00:00,17,2085,2047
438,2020-01-19T00:00:00,18,1826,1804
439,2020-01-19T00:00:00,19,1418,1400
440,2020-01-19T00:00:00,20,1001,985
441,2020-01-19T00:00:00,21,772,759
442,2020-01-19T00:00:00,22,613,611
443,2020-01-19T00:00:00,23,260,255
444,2020-01-20T00:00:00,0,59,59
445,2020-01-20T00:00:00,1,7,7
446,2020-01-20T00:00:00,2,1,1
447,2020-01-20T00:00:00,4,2,2
448,2020-01-20T00:00:00,5,3,3
449,2020-01-20T00:00:00,6,125,124
450,2020-01-20T00:00:00,7,1813,1796
451,2020-01-20T00:00:00,8,2282,2267
452,2020-01-20T00:00:00,9,2101,2081
453,2020-01-20T00:00:00,10,2029,2011
454,2020-01-20T00:00:00,11,2729,2692
455,2020-01-20T00:00:00,12,3362,3325
456,2020-01-20T00:00:00,13,2992,2958
457,2020-01-20T00:00:00,14,3012,2975
458,2020-01-20T00:00:00,15,2652,2610
459,2020-01-20T00:00:00,16,2554,2514
460,2020-01-20T00:00:00,17,2807,2764
461,2020-01-20T00:00:00,18,2765,2731
462,2020-01-20T00:00:00,19,2056,2025
463,2020-01-20T00:00:00,20,1116,1103
464,2020-01-20T00:00:00,21,795,786
465,2020-01-20T00:00:00,22,600,594
466,2020-01-20T00:00:00,23,219,218
467,2020-01-21T00:00:00,0,45,45
468,2020-01-21T00:00:00,1,9,9
469,2020-01-21T00:00:00,2,1,1
470,2020-01-21T00:00:00,3,2,2
471,2020-01-21T00:00:00,5,2,2
472,2020-01-21T00:00:00,6,65,65
473,2020-01-21T00:00:00,7,1161,1150
474,2020-01-21T00:00:00,8,1641,1621
475,2020-01-21T00:00:00,9,1529,1514
476,2020-01-21T00:00:00,10,1635,1618
477,2020-01-21T00:00:00,11,2033,2011
478,2020-01-21T00:00:00,12,2604,2583
479,2020-01-21T00:00:00,13,2408,2381
480,2020-01-21T00:00:00,14,2305,2279
481,2020-01-21T00:00:00,15,2157,2134
482,2020-01-21T00:00:00,16,2259,2232
483,2020-01-21T00:00:00,17,2354,2323
484,2020-01-21T00:00:00,18,2323,2293
485,2020-01-21T00:00:00,19,1788,1769
486,2020-01-21T00:00:00,20,1046,1029
487,2020-01-21T00:00:00,21,704,695
488,2020-01-21T00:00:00,22,527,517
489,2020-01-21T00:00:00,23,244,241
490,2020-01-22T00:00:00,0,43,43
491,2020-01-22T00:00:00,1,11,11
492,2020-01-22T00:00:00,3,1,1
493,2020-01-22T00:00:00,4,1,1
494,2020-01-22T00:00:00,5,3,2
495,2020-01-22T00:00:00,6,78,78
496,2020-01-22T00:00:00,7,1137,1121
497,2020-01-22T00:00:00,8,1797,1777
498,2020-01-22T00:00:00,9,1712,1700
