_id,ilce_adi,mahalle_adi,iyi_tarim_uygulamalari
450,Ilgın,GÖLYAKA,HAYIR
451,Ilgın,GÖKBUDAK,HAYIR
452,Ilgın,GÜNEYPINAR,HAYIR
453,Ilgın,HARMANYAZI,HAYIR
454,Ilgın,İHSANİYE,HAYIR
455,Ilgın,KAPAKLI,HAYIR
456,Ilgın,KARAKÖY,HAYIR
457,Ilgın,KALEKÖY,HAYIR
458,Ilgın,MAHMUTHİSAR,HAYIR
459,Ilgın,MECİDİYE,HAYIR
460,Ilgın,MİSAFİRLİ,HAYIR
461,Ilgın,OLUKPINAR,HAYIR
462,Ilgın,ORHANİYE,HAYIR
463,Ilgın,ORMANÖZÜ,HAYIR
464,Ilgın,SADIKKÖY,HAYIR
465,Ilgın,SEBİLLER,HAYIR
466,Ilgın,TEKELER,HAYIR
467,Ilgın,YUKARIÇİĞİL,HAYIR
468,Ilgın,YORAZLAR,HAYIR
469,Ilgın,ZAFERİYE,HAYIR
470,Ilgın,AVDAN,HAYIR
471,Kadınhanı,OSMANCIK,HAYIR
472,Kadınhanı,AFŞARLI,HAYIR
473,Kadınhanı,ALABAĞ,HAYIR
474,Kadınhanı,ATLANTI,HAYIR
475,Kadınhanı,BAKIRPINAR,HAYIR
476,Kadınhanı,BAŞKUYU,HAYIR
477,Kadınhanı,BAYRAMLI,HAYIR
478,Kadınhanı,BEYKAVAĞI,HAYIR
479,Kadınhanı,BULGURPINAR,HAYIR
480,Kadınhanı,ÇAVDAR,HAYIR
481,Kadınhanı,ÇEŞMECİK,HAYIR
482,Kadınhanı,ÇUBUK,HAYIR
483,Kadınhanı,DEMİROLUK,HAYIR
484,Kadınhanı,HACIMEHMETLİ,HAYIR
485,Kadınhanı,HACIOFLAZLAR,HAYIR
486,Kadınhanı,HACIPİRLİ,HAYIR
487,Kadınhanı,KABACALI,HAYIR
488,Kadınhanı,KAMIŞLIÖZÜ,HAYIR
489,Kadınhanı,KARAHİSARLI,HAYIR
490,Kadınhanı,KARAKURTLU,HAYIR
491,Kadınhanı,KARASEVİNÇ,HAYIR
492,Kadınhanı,KARAYÜRÜKLÜ,HAYIR
493,Kadınhanı,KIZILKUYU,HAYIR
494,Kadınhanı,KOLUKISA,HAYIR
495,Kadınhanı,KONURÖREN,HAYIR
496,Kadınhanı,KÖKEZ,HAYIR
497,Kadınhanı,KÖYLÜTOLU,HAYIR
498,Kadınhanı,KURTHASANLI,HAYIR
499,Kadınhanı,KÜÇÜKKUYU,HAYIR
500,Kadınhanı,MAHMUDİYE,HAYIR
501,Kadınhanı,MEYDANLI,HAYIR
502,Kadınhanı,ÖRNEK,HAYIR
503,Kadınhanı,PİRALİ,HAYIR
504,Kadınhanı,PUSAT,HAYIR
505,Kadınhanı,SAÇIKARA,HAYIR
506,Kadınhanı,SARIKAYA,HAYIR
507,Kadınhanı,SÖĞÜTÖZÜ,HAYIR
508,Kadınhanı,ŞAHÖREN,HAYIR
509,Kadınhanı,TOSUNOĞLU,HAYIR
510,Kadınhanı,YAĞLICA,HAYIR
511,Kadınhanı,YAYLAYAKA,HAYIR
512,Karapınar,HOTAMIŞ,HAYIR
513,Karapınar,KESMEZ,HAYIR
514,Karapınar,AKÇAYAZI,HAYIR
515,Karapınar,AKÖREN,EVET
516,Karapınar,ÇİĞİL,EVET
517,Karapınar,HASANOBA,HAYIR
518,Karapınar,İSLİK,HAYIR
519,Karapınar,KARAKIŞLA,HAYIR
520,Karapınar,KAYACIK,HAYIR
521,Karapınar,KAYALI,HAYIR
522,Karapınar,KAZANHÜYÜĞÜ,HAYIR
523,Karapınar,KÜÇÜKAŞLAMA,HAYIR
524,Karapınar,ORTAOBA,HAYIR
525,Karapınar,OYMALI,HAYIR
526,Karapınar,SAZLIPINAR,HAYIR
527,Karapınar,YAĞMAPINAR,HAYIR
528,Karapınar,YENİKUYU,HAYIR
529,Karapınar,YEŞİLYURT,HAYIR
530,Karatay,YARMA,HAYIR
531,Karatay,ACIDORT,HAYIR
532,Karatay,AĞSAKLI,HAYIR
533,Karatay,AKBAŞ,HAYIR
534,Karatay,AKÖRENKIŞLA,HAYIR
535,Karatay,BAKIRTOLU,HAYIR
536,Karatay,BAŞGÖTÜREN,HAYIR
537,Karatay,BEŞAĞIL,HAYIR
538,Karatay,BÜYÜKBURNAK,EVET
539,Karatay,ÇENGİLTİ,HAYIR
540,Karatay,DİVANLAR,HAYIR
541,Karatay,ESENTEPE,HAYIR
542,Karatay,GÖÇÜ,HAYIR
543,Karatay,HAYIROĞLU MERKEZ,HAYIR
544,Karatay,İPEKLER,HAYIR
545,Karatay,İSMİL,HAYIR
546,Karatay,KARADONA,HAYIR
547,Karatay,KARAKAYA,HAYIR
548,Karatay,KATRANCI,HAYIR
549,Karatay,KIZÖREN,HAYIR
550,Karatay,KÖSEALİ,HAYIR
551,Karatay,OBRUK,HAYIR
552,Karatay,OVAKAVAĞI,HAYIR
553,Karatay,SAKYATAN,HAYIR
554,Karatay,SÜRÜÇ,HAYIR
555,Karatay,ŞATIR,HAYIR
556,Karatay,YAĞLIBAYAT,HAYIR
557,Karatay,YAVŞANKUYU,HAYIR
558,Karatay,YENİCE,HAYIR
559,Karatay,YENİKENT,HAYIR
560,Karatay,ZİNCİRLİ,HAYIR
561,Kulu,ACIKUYU,HAYIR
562,Kulu,AĞILBAŞI,HAYIR
563,Kulu,ALTILAR,EVET
564,Kulu,ARŞINCA,HAYIR
565,Kulu,BEŞKARDEŞ,EVET
566,Kulu,BOĞAZÖREN,EVET
567,Kulu,BOZAN,EVET
568,Kulu,BURUNAĞIL,EVET
569,Kulu,CANIMANA,HAYIR
570,Kulu,CELEP,EVET
571,Kulu,DİPDEDE,HAYIR
572,Kulu,DOĞUTEPE,EVET
573,Kulu,FEVZİYE,EVET
574,Kulu,GÖKLER,HAYIR
575,Kulu,GÜZELYAYLA,HAYIR
576,Kulu,HİSAR,HAYIR
577,Kulu,KARACADAĞ,EVET
578,Kulu,KARACADERE,HAYIR
579,Kulu,KIRKKUYU,EVET
580,Kulu,KIRKPINAR,HAYIR
581,Kulu,KOZANLI,EVET
582,Kulu,KÖMÜŞİNİ,HAYIR
583,Kulu,KÖŞKER,HAYIR
584,Kulu,SARIYAYLA,HAYIR
585,Kulu,SEYİTAHMETLİ,HAYIR
586,Kulu,SOĞUKKUYU,HAYIR
587,Kulu,ŞEREFLİ,EVET
588,Kulu,TAVLIÖREN,HAYIR
589,Kulu,ÖMERANLI,HAYIR
590,Kulu,TUZYAKA,HAYIR
591,Kulu,YARAŞLI,HAYIR
592,Kulu,YAZIÇAYIR,EVET
593,Kulu,YEŞİLTEPE,HAYIR
594,Kulu,YEŞİLYURT,HAYIR
595,Kulu,ZİNCİRLİKUYU,EVET
596,Kulu,BAHADIRLI,HAYIR
597,Kulu,DEĞİRMENÖZÜ,EVET
598,Meram,ERENKAYA,HAYIR
599,Meram,YATAĞAN,HAYIR
