ilce,mahalle,mahalle_turu
DOĞANHISAR,HARMAN,MAHALLE
DOĞANHISAR,KARAAĞA,MAHALLE
DOĞANHISAR,KOÇAŞ,MAHALLE
DOĞANHISAR,KONAKKALE,MAHALLE
DOĞANHISAR,KUZ,MAHALLE
DOĞANHISAR,PAZAR,MAHALLE
DOĞANHISAR,ŞIH,MAHALLE
DOĞANHISAR,YEĞIN,MAHALLE
DOĞANHISAR,YENICE,MAHALLE
DOĞANHISAR,FIRINLI,KIRSAL MAHALLE                   
DOĞANHISAR,GÜVENDIK,KIRSAL MAHALLE                   
DOĞANHISAR,ILYASLAR,KIRSAL MAHALLE                   
DOĞANHISAR,KEMER,KIRSAL MAHALLE                   
DOĞANHISAR,TEKKEKÖY,KIRSAL MAHALLE                   
DOĞANHISAR,UNCULAR,KIRSAL MAHALLE                   
DOĞANHISAR,YAZIR,KIRSAL MAHALLE                   
DOĞANHISAR,YAZLICA,KIRSAL MAHALLE                   
EMIRGAZI,AKMESCIT,MAHALLE
EMIRGAZI,CAMIKEBIR,MAHALLE
EMIRGAZI,CUMHURIYET,MAHALLE
EMIRGAZI,DEMIRCI,MAHALLE
EMIRGAZI,FATIH,MAHALLE
EMIRGAZI,IŞIKLAR,MAHALLE
EMIRGAZI,KALE,MAHALLE
EMIRGAZI,TÜRBE,MAHALLE
EMIRGAZI,YENI,MAHALLE
EMIRGAZI,BESCI,KIRSAL MAHALLE                   
EMIRGAZI,EKIZLI,KIRSAL MAHALLE                   
EMIRGAZI,GÖLÖREN,KIRSAL MAHALLE                   
EMIRGAZI,KARAÖREN,KIRSAL MAHALLE                   
EMIRGAZI,MEŞELI,KIRSAL MAHALLE                   
EMIRGAZI,ÖBEKTAŞ,KIRSAL MAHALLE                   
EMIRGAZI,YAMAÇ,KIRSAL MAHALLE                   
EREĞLI,ALPASLAN,MAHALLE
EREĞLI,ATAKENT,MAHALLE
EREĞLI,AYDINLAR,MAHALLE
EREĞLI,AZIZIYE,MAHALLE
EREĞLI,BARBAROS,MAHALLE
EREĞLI,BATIALAGÖZLÜ,MAHALLE
EREĞLI,BELKAYA,MAHALLE
