_id,Ilce,mahalle,mahalle_turu
302,ÇUMRA,MEYDAN,MAHALLE
303,ÇUMRA,OKÇU,MAHALLE
304,ÇUMRA,TÜRKMENCAMILI,MAHALLE
305,ÇUMRA,YENI,MAHALLE
306,ÇUMRA,YENIDOÐAN,MAHALLE
307,ÇUMRA,YENISU,MAHALLE
308,ÇUMRA,ABDITOLU,KIRSALMAHALLE                   
309,ÇUMRA,ADAKALE,KIRSALMAHALLE                   
310,ÇUMRA,AFÞAR,KIRSALMAHALLE                   
311,ÇUMRA,ALEMDAR,KIRSALMAHALLE                   
312,ÇUMRA,APASARAYCIK,KIRSALMAHALLE                   
313,ÇUMRA,AVDUL,KIRSALMAHALLE                   
314,ÇUMRA,BALÇIKHISAR,KIRSALMAHALLE                   
315,ÇUMRA,BEYLERCE,KIRSALMAHALLE                   
316,ÇUMRA,BÜYÜKAÞLAMA,KIRSALMAHALLE                   
317,ÇUMRA,ÇIÇEKKÖY,KIRSALMAHALLE                   
318,ÇUMRA,ÇUKURKAVAK,KIRSALMAHALLE                   
319,ÇUMRA,DEDEMOÐLU,KIRSALMAHALLE                   
320,ÇUMRA,DINEKSARAY,KIRSALMAHALLE                   
321,ÇUMRA,DINLENDIK,KIRSALMAHALLE                   
322,ÇUMRA,DOÐANLI,KIRSALMAHALLE                   
323,ÇUMRA,ERENTEPE,KIRSALMAHALLE                   
324,ÇUMRA,FETHIYE,KIRSALMAHALLE                   
325,ÇUMRA,GÖKHÜYÜK,KIRSALMAHALLE                   
326,ÇUMRA,INLI,KIRSALMAHALLE                   
327,ÇUMRA,KUZUCU,KIRSALMAHALLE                   
328,ÇUMRA,KÜÇÜKKÖY,KIRSALMAHALLE                   
329,ÇUMRA,SEÇME,KIRSALMAHALLE                   
330,ÇUMRA,SÜRGÜÇ,KIRSALMAHALLE                   
331,ÇUMRA,TAHTALI,KIRSALMAHALLE                   
332,ÇUMRA,TAÞAÐIL,KIRSALMAHALLE                   
333,ÇUMRA,TÜRKMENKARAHÜYÜK,KIRSALMAHALLE                   
334,ÇUMRA,UZUNKUYU,KIRSALMAHALLE                   
335,ÇUMRA,ÜÇHÜYÜK,KIRSALMAHALLE                   
336,ÇUMRA,ÜRÜNLÜ,KIRSALMAHALLE                   
337,ÇUMRA,YÖRÜKCAMILI,KIRSALMAHALLE                   
338,DERBENT,CAMIIKEBIR,MAHALLE
339,DERBENT,ÇIFTLIKÖZÜ,MAHALLE
340,DERBENT,GÜNEY,MAHALLE
341,DERBENT,HACI AHMET,MAHALLE
342,DERBENT,KARALAR,MAHALLE
343,DERBENT,SÜLEYMAN,MAHALLE
344,DERBENT,YUKARI,MAHALLE
345,DERBENT,ARAPÖZÜ,KIRSALMAHALLE                   
346,DERBENT,DEÐIÞ,KIRSALMAHALLE                   
347,DERBENT,DERBENTTEKKE,KIRSALMAHALLE                   
348,DERBENT,GÜNEYKÖY,KIRSALMAHALLE                   
349,DERBENT,MÜLAYIM,KIRSALMAHALLE                   
350,DERBENT,SARAYPINAR,KIRSALMAHALLE                   
351,DEREBUCAK,ÇAMLIK,MAHALLE
352,DEREBUCAK,GENCEK,MAHALLE
353,DEREBUCAK,GÖYNEM,MAHALLE
354,DEREBUCAK,KENANKUYU,MAHALLE
355,DEREBUCAK,MUSALLA,MAHALLE
356,DEREBUCAK,PINARBAÞI,MAHALLE
357,DEREBUCAK,SARAYÖNÜ,MAHALLE
358,DEREBUCAK,YENI,MAHALLE
359,DEREBUCAK,DURAK,KIRSALMAHALLE                   
360,DEREBUCAK,TAÞLIPINAR,KIRSALMAHALLE                   
361,DEREBUCAK,TEPEARASI,KIRSALMAHALLE                   
362,DEREBUCAK,UÐURLU,KIRSALMAHALLE                   
363,DOÐANHISAR,AÐA,MAHALLE
364,DOÐANHISAR,AYASLAR,MAHALLE
365,DOÐANHISAR,BAÞ,MAHALLE
366,DOÐANHISAR,BAÞKÖY,MAHALLE
367,DOÐANHISAR,CUMA,MAHALLE
368,DOÐANHISAR,ÇINAROBA,MAHALLE
369,DOÐANHISAR,DEÞTIÐIN,MAHALLE
370,DOÐANHISAR,HARMAN,MAHALLE
371,DOÐANHISAR,KARAAÐA,MAHALLE
372,DOÐANHISAR,KOÇAÞ,MAHALLE
373,DOÐANHISAR,KONAKKALE,MAHALLE
374,DOÐANHISAR,KUZ,MAHALLE
375,DOÐANHISAR,PAZAR,MAHALLE
376,DOÐANHISAR,ÞIH,MAHALLE
377,DOÐANHISAR,YEÐIN,MAHALLE
378,DOÐANHISAR,YENICE,MAHALLE
379,DOÐANHISAR,FIRINLI,KIRSALMAHALLE                   
380,DOÐANHISAR,GÜVENDIK,KIRSALMAHALLE                   
381,DOÐANHISAR,ILYASLAR,KIRSALMAHALLE                   
382,DOÐANHISAR,KEMER,KIRSALMAHALLE                   
383,DOÐANHISAR,TEKKEKÖY,KIRSALMAHALLE                   
384,DOÐANHISAR,UNCULAR,KIRSALMAHALLE                   
385,DOÐANHISAR,YAZIR,KIRSALMAHALLE                   
386,DOÐANHISAR,YAZLICA,KIRSALMAHALLE                   
387,EMIRGAZI,AKMESCIT,MAHALLE
388,EMIRGAZI,CAMIKEBIR,MAHALLE
389,EMIRGAZI,CUMHURIYET,MAHALLE
390,EMIRGAZI,DEMIRCI,MAHALLE
391,EMIRGAZI,FATIH,MAHALLE
392,EMIRGAZI,IÞIKLAR,MAHALLE
393,EMIRGAZI,KALE,MAHALLE
394,EMIRGAZI,TÜRBE,MAHALLE
395,EMIRGAZI,YENI,MAHALLE
396,EMIRGAZI,BESCI,KIRSALMAHALLE                   
397,EMIRGAZI,EKIZLI,KIRSALMAHALLE                   
398,EMIRGAZI,GÖLÖREN,KIRSALMAHALLE                   
399,EMIRGAZI,KARAÖREN,KIRSALMAHALLE                   
400,EMIRGAZI,MEÞELI,KIRSALMAHALLE                   
401,EMIRGAZI,ÖBEKTAÞ,KIRSALMAHALLE                   
402,EMIRGAZI,YAMAÇ,KIRSALMAHALLE                   
403,EREÐLI,ALPASLAN,MAHALLE
404,EREÐLI,ATAKENT,MAHALLE
405,EREÐLI,AYDINLAR,MAHALLE
406,EREÐLI,AZIZIYE,MAHALLE
407,EREÐLI,BARBAROS,MAHALLE
408,EREÐLI,BATIALAGÖZLÜ,MAHALLE
409,EREÐLI,BELKAYA,MAHALLE
410,EREÐLI,BOYACIALI,MAHALLE
411,EREÐLI,CAHI,MAHALLE
412,EREÐLI,CAMIKEBIR,MAHALLE
413,EREÐLI,CINLER,MAHALLE
414,EREÐLI,ÇAYHAN,MAHALLE
415,EREÐLI,ÇÖMLEKÇI,MAHALLE
416,EREÐLI,DALMAZ,MAHALLE
417,EREÐLI,DOGUALAGÖZLÜ,MAHALLE
418,EREÐLI,ETI,MAHALLE
419,EREÐLI,FATIH,MAHALLE
420,EREÐLI,GÜLBAHÇE,MAHALLE
421,EREÐLI,HACIMUSTAFA,MAHALLE
422,EREÐLI,HACIMUTAHIR,MAHALLE
423,EREÐLI,HAMIDIYE,MAHALLE
424,EREÐLI,HIDIRLI,MAHALLE
425,EREÐLI,HORTU,MAHALLE
426,EREÐLI,KAZANCI,MAHALLE
427,EREÐLI,KUTÖREN,MAHALLE
428,EREÐLI,MEHMET AKIF,MAHALLE
429,EREÐLI,MIMAR SINAN,MAHALLE
430,EREÐLI,NAMIK KEMAL,MAHALLE
